epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,3134.65,0.40799,0.29998,0.81128,0.97516,0.95971,0.9814,0.8077,0.74726,0.39365,0.90412,0.000445625,0.000445625,0.000445625
132,3155.55,0.43316,0.31915,0.82009,0.96179,0.95947,0.97123,0.78454,0.78591,0.42545,0.91653,0.000439437,0.000439437,0.000439437
133,3175.71,0.41802,0.319,0.81464,0.96789,0.96066,0.97717,0.82099,0.71973,0.40986,0.90207,0.00043325,0.00043325,0.00043325
134,3200.27,0.43348,0.30838,0.81308,0.95602,0.95952,0.96605,0.81402,0.71191,0.71681,0.89987,0.000427062,0.000427062,0.000427062
135,3228.39,0.42794,0.3008,0.81755,0.98225,0.9881,0.98636,0.80546,0.74457,0.5336,0.91625,0.000420875,0.000420875,0.000420875
136,3252.16,0.41251,0.31093,0.82168,0.987,0.98579,0.99308,0.80778,0.79896,0.35572,0.92775,0.000414688,0.000414688,0.000414688
137,3275.76,0.417,0.30663,0.82359,0.99167,0.98698,0.99413,0.81087,0.78484,0.34485,0.91905,0.0004085,0.0004085,0.0004085
138,3300.37,0.4287,0.30689,0.81583,0.9937,0.9881,0.99455,0.8255,0.76075,0.35112,0.90596,0.000402312,0.000402312,0.000402312
139,3323.51,0.42624,0.30915,0.81731,0.98895,0.98724,0.99455,0.8131,0.74344,0.33604,0.91207,0.000396125,0.000396125,0.000396125
140,3345.13,0.41959,0.3007,0.81612,0.98061,0.98543,0.9934,0.82322,0.74178,0.34646,0.90883,0.000389938,0.000389938,0.000389938
141,3367.26,0.41541,0.30075,0.81194,0.9776,0.98458,0.99136,0.81054,0.78846,0.36395,0.92254,0.00038375,0.00038375,0.00038375
142,3387.48,0.43759,0.33611,0.81271,0.98779,0.9801,0.98929,0.83226,0.72616,0.35101,0.90659,0.000377563,0.000377563,0.000377563
143,3418.37,0.3886,0.29583,0.81436,0.97546,0.98015,0.98999,0.81285,0.77561,0.36893,0.9269,0.000371375,0.000371375,0.000371375
144,3445.68,0.39158,0.29878,0.81411,0.97651,0.98475,0.98953,0.80962,0.74986,0.36831,0.91838,0.000365188,0.000365188,0.000365188
145,3468.85,0.3899,0.28338,0.80338,0.97907,0.98503,0.98837,0.82016,0.72207,0.3453,0.90239,0.000359,0.000359,0.000359
146,3487.84,0.38646,0.27887,0.81343,0.99016,0.98428,0.9934,0.81825,0.75173,0.35233,0.9174,0.000352812,0.000352812,0.000352812
147,3506.22,0.38942,0.28261,0.81372,0.99188,0.98519,0.99308,0.82014,0.73721,0.34447,0.90957,0.000346625,0.000346625,0.000346625
148,3525.84,0.39158,0.28101,0.80872,0.99503,0.9881,0.99308,0.80444,0.76835,0.35372,0.92112,0.000340438,0.000340438,0.000340438
149,3545.09,0.37543,0.28013,0.81243,0.99647,0.98745,0.99278,0.8339,0.69613,0.33016,0.89842,0.00033425,0.00033425,0.00033425
150,3563.39,0.38493,0.2844,0.80888,0.99581,0.98535,0.99025,0.81668,0.71727,0.35164,0.90207,0.000328063,0.000328063,0.000328063
151,3582.3,0.37245,0.27607,0.80193,0.99354,0.98741,0.98967,0.81346,0.73629,0.35403,0.91125,0.000321875,0.000321875,0.000321875
152,3600.81,0.40115,0.28497,0.80556,0.98153,0.97288,0.9894,0.81669,0.75319,0.36531,0.91992,0.000315687,0.000315687,0.000315687
153,3618.92,0.37475,0.2681,0.8104,0.97712,0.9881,0.98887,0.82061,0.75577,0.37751,0.9166,0.0003095,0.0003095,0.0003095
154,3638.42,0.37244,0.27989,0.81275,0.97104,0.9818,0.98907,0.80755,0.7884,0.38442,0.92501,0.000303313,0.000303313,0.000303313
155,3658.23,0.38692,0.28649,0.81447,0.98921,0.9616,0.9897,0.8227,0.74128,0.37048,0.9096,0.000297125,0.000297125,0.000297125
156,3676.4,0.38052,0.27607,0.80546,0.99154,0.96272,0.9892,0.81558,0.77142,0.36808,0.91964,0.000290937,0.000290937,0.000290937
157,3695.07,0.37506,0.28161,0.80724,0.98983,0.96427,0.9889,0.82418,0.73453,0.34666,0.91,0.00028475,0.00028475,0.00028475
158,3713.06,0.36899,0.27454,0.80706,0.99131,0.96447,0.9897,0.82308,0.74746,0.34249,0.91026,0.000278562,0.000278562,0.000278562
159,3730.9,0.38007,0.275,0.8076,0.99209,0.96804,0.98973,0.80231,0.82165,0.35949,0.9304,0.000272375,0.000272375,0.000272375
160,3749.3,0.37135,0.27697,0.81022,0.99041,0.97619,0.99118,0.81887,0.74034,0.34763,0.91574,0.000266187,0.000266187,0.000266187
161,3767.16,0.37302,0.27866,0.80424,0.98622,0.97619,0.98953,0.81477,0.76163,0.35915,0.91988,0.00026,0.00026,0.00026
162,3786.14,0.36446,0.27059,0.79944,0.98789,0.97243,0.98837,0.8128,0.74574,0.36432,0.90753,0.000253812,0.000253812,0.000253812
163,3803.79,0.37658,0.27488,0.80895,0.99,0.97117,0.97931,0.7946,0.80314,0.37814,0.92512,0.000247625,0.000247625,0.000247625
164,3822.28,0.35239,0.25736,0.80571,0.98998,0.96239,0.97595,0.7943,0.78541,0.37558,0.93345,0.000241438,0.000241438,0.000241438
165,3840.04,0.35715,0.26987,0.8086,0.99099,0.96523,0.97517,0.78849,0.81948,0.3868,0.9489,0.00023525,0.00023525,0.00023525
166,3858.54,0.34834,0.26088,0.79722,0.98999,0.97225,0.97538,0.79233,0.76352,0.36029,0.9225,0.000229063,0.000229063,0.000229063
167,3875.97,0.34006,0.25568,0.80378,0.99066,0.97563,0.9793,0.81986,0.73237,0.35388,0.91035,0.000222875,0.000222875,0.000222875
168,3894.55,0.3457,0.26184,0.79993,0.97868,0.9865,0.986,0.81346,0.76882,0.36505,0.91829,0.000216688,0.000216688,0.000216688
169,3912.74,0.34672,0.2631,0.80142,0.97818,0.9881,0.98595,0.7939,0.79581,0.3703,0.93078,0.0002105,0.0002105,0.0002105
170,3930.97,0.33965,0.26121,0.79715,0.98754,0.97619,0.98025,0.7973,0.78739,0.36314,0.93099,0.000204313,0.000204313,0.000204313
171,3948.72,0.33985,0.26076,0.80667,0.98979,0.97619,0.98074,0.80639,0.7748,0.36325,0.92369,0.000198125,0.000198125,0.000198125
172,3968.45,0.35352,0.26537,0.80225,0.98209,0.97619,0.98532,0.81175,0.76462,0.36285,0.91496,0.000191938,0.000191938,0.000191938
173,3987.16,0.34859,0.26951,0.80711,0.98404,0.97619,0.98824,0.80887,0.78837,0.36452,0.93033,0.00018575,0.00018575,0.00018575
174,4005.35,0.33509,0.26399,0.80989,0.9885,0.96744,0.98843,0.81181,0.79357,0.36473,0.93374,0.000179563,0.000179563,0.000179563
175,4024.19,0.3313,0.25317,0.79234,0.98897,0.96538,0.98853,0.81297,0.76419,0.35793,0.91955,0.000173375,0.000173375,0.000173375
176,4043.61,0.32634,0.25071,0.79334,0.99064,0.96778,0.98596,0.81681,0.76972,0.35733,0.92293,0.000167188,0.000167188,0.000167188
177,4063.86,0.33055,0.24797,0.79352,0.99123,0.97619,0.98768,0.81678,0.77033,0.35698,0.92423,0.000161,0.000161,0.000161
178,4083.84,0.32189,0.24812,0.78418,0.99094,0.97619,0.98925,0.81133,0.77445,0.35392,0.92905,0.000154812,0.000154812,0.000154812
179,4101.99,0.31984,0.24599,0.7926,0.97985,0.97619,0.99074,0.81692,0.74272,0.33901,0.91171,0.000148625,0.000148625,0.000148625
180,4120.57,0.32154,0.24787,0.79938,0.98321,0.97619,0.99111,0.81984,0.75926,0.33304,0.9145,0.000142437,0.000142437,0.000142437
